index,type,lattice_type,placement,nx,ny,nz,n_variants,ag,al,au,co,cr,cu,fe,ir,mn,mo,ni,os,pd,pt,re,rh,ru,ti,v,w,zn
1,dilute_1,fcc,dilute_1_top,4,4,4,1,0.984375,0.000000,0.000000,0.015625,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,dilute_1,fcc,dilute_1_sub,4,4,4,1,0.984375,0.000000,0.000000,0.015625,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,dilute_1,fcc,dilute_1_mid,4,4,4,1,0.984375,0.000000,0.000000,0.015625,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,dilute_2,fcc,dilute_2_nn_top,4,4,4,1,0.968750,0.000000,0.000000,0.031250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,dilute_2,fcc,dilute_2_nn_sub,4,4,4,1,0.968750,0.000000,0.000000,0.031250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,dilute_2,fcc,dilute_2_far_top,4,4,4,1,0.968750,0.000000,0.000000,0.031250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,dilute_1,hcp,dilute_1_top,4,4,4,1,0.015625,0.000000,0.000000,0.984375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,dilute_1,hcp,dilute_1_sub,4,4,4,1,0.015625,0.000000,0.000000,0.984375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,dilute_1,hcp,dilute_1_mid,4,4,4,1,0.015625,0.000000,0.000000,0.984375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,dilute_2,hcp,dilute_2_nn_top,4,4,4,1,0.031250,0.000000,0.000000,0.968750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11,dilute_2,hcp,dilute_2_nn_sub,4,4,4,1,0.031250,0.000000,0.000000,0.968750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12,dilute_2,hcp,dilute_2_far_top,4,4,4,1,0.031250,0.000000,0.000000,0.968750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13,dilute_1,fcc,dilute_1_top,4,4,4,1,0.000000,0.984375,0.000000,0.015625,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14,dilute_1,fcc,dilute_1_sub,4,4,4,1,0.000000,0.984375,0.000000,0.015625,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15,dilute_1,fcc,dilute_1_mid,4,4,4,1,0.000000,0.984375,0.000000,0.015625,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16,dilute_2,fcc,dilute_2_nn_top,4,4,4,1,0.000000,0.968750,0.000000,0.031250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17,dilute_2,fcc,dilute_2_nn_sub,4,4,4,1,0.000000,0.968750,0.000000,0.031250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
18,dilute_2,fcc,dilute_2_far_top,4,4,4,1,0.000000,0.968750,0.000000,0.031250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
19,dilute_1,hcp,dilute_1_top,4,4,4,1,0.000000,0.015625,0.000000,0.984375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20,dilute_1,hcp,dilute_1_sub,4,4,4,1,0.000000,0.015625,0.000000,0.984375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
21,dilute_1,hcp,dilute_1_mid,4,4,4,1,0.000000,0.015625,0.000000,0.984375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22,dilute_2,hcp,dilute_2_nn_top,4,4,4,1,0.000000,0.031250,0.000000,0.968750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
23,dilute_2,hcp,dilute_2_nn_sub,4,4,4,1,0.000000,0.031250,0.000000,0.968750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
24,dilute_2,hcp,dilute_2_far_top,4,4,4,1,0.000000,0.031250,0.000000,0.968750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
25,dilute_1,fcc,dilute_1_top,4,4,4,1,0.000000,0.000000,0.984375,0.015625,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
26,dilute_1,fcc,dilute_1_sub,4,4,4,1,0.000000,0.000000,0.984375,0.015625,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
27,dilute_1,fcc,dilute_1_mid,4,4,4,1,0.000000,0.000000,0.984375,0.015625,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
28,dilute_2,fcc,dilute_2_nn_top,4,4,4,1,0.000000,0.000000,0.968750,0.031250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
29,dilute_2,fcc,dilute_2_nn_sub,4,4,4,1,0.000000,0.000000,0.968750,0.031250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
30,dilute_2,fcc,dilute_2_far_top,4,4,4,1,0.000000,0.000000,0.968750,0.031250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
31,dilute_1,hcp,dilute_1_top,4,4,4,1,0.000000,0.000000,0.015625,0.984375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
32,dilute_1,hcp,dilute_1_sub,4,4,4,1,0.000000,0.000000,0.015625,0.984375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
33,dilute_1,hcp,dilute_1_mid,4,4,4,1,0.000000,0.000000,0.015625,0.984375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
34,dilute_2,hcp,dilute_2_nn_top,4,4,4,1,0.000000,0.000000,0.031250,0.968750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
35,dilute_2,hcp,dilute_2_nn_sub,4,4,4,1,0.000000,0.000000,0.031250,0.968750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
36,dilute_2,hcp,dilute_2_far_top,4,4,4,1,0.000000,0.000000,0.031250,0.968750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
37,dilute_1,fcc,dilute_1_top,4,4,4,1,0.000000,0.000000,0.000000,0.015625,0.000000,0.984375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
38,dilute_1,fcc,dilute_1_sub,4,4,4,1,0.000000,0.000000,0.000000,0.015625,0.000000,0.984375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
39,dilute_1,fcc,dilute_1_mid,4,4,4,1,0.000000,0.000000,0.000000,0.015625,0.000000,0.984375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
40,dilute_2,fcc,dilute_2_nn_top,4,4,4,1,0.000000,0.000000,0.000000,0.031250,0.000000,0.968750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
41,dilute_2,fcc,dilute_2_nn_sub,4,4,4,1,0.000000,0.000000,0.000000,0.031250,0.000000,0.968750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
42,dilute_2,fcc,dilute_2_far_top,4,4,4,1,0.000000,0.000000,0.000000,0.031250,0.000000,0.968750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
43,dilute_1,hcp,dilute_1_top,4,4,4,1,0.000000,0.000000,0.000000,0.984375,0.000000,0.015625,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
44,dilute_1,hcp,dilute_1_sub,4,4,4,1,0.000000,0.000000,0.000000,0.984375,0.000000,0.015625,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
45,dilute_1,hcp,dilute_1_mid,4,4,4,1,0.000000,0.000000,0.000000,0.984375,0.000000,0.015625,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
46,dilute_2,hcp,dilute_2_nn_top,4,4,4,1,0.000000,0.000000,0.000000,0.968750,0.000000,0.031250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
47,dilute_2,hcp,dilute_2_nn_sub,4,4,4,1,0.000000,0.000000,0.000000,0.968750,0.000000,0.031250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
48,dilute_2,hcp,dilute_2_far_top,4,4,4,1,0.000000,0.000000,0.000000,0.968750,0.000000,0.031250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
49,dilute_1,fcc,dilute_1_top,4,4,4,1,0.000000,0.000000,0.000000,0.015625,0.000000,0.000000,0.000000,0.984375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
50,dilute_1,fcc,dilute_1_sub,4,4,4,1,0.000000,0.000000,0.000000,0.015625,0.000000,0.000000,0.000000,0.984375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
51,dilute_1,fcc,dilute_1_mid,4,4,4,1,0.000000,0.000000,0.000000,0.015625,0.000000,0.000000,0.000000,0.984375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
52,dilute_2,fcc,dilute_2_nn_top,4,4,4,1,0.000000,0.000000,0.000000,0.031250,0.000000,0.000000,0.000000,0.968750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
53,dilute_2,fcc,dilute_2_nn_sub,4,4,4,1,0.000000,0.000000,0.000000,0.031250,0.000000,0.000000,0.000000,0.968750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
54,dilute_2,fcc,dilute_2_far_top,4,4,4,1,0.000000,0.000000,0.000000,0.031250,0.000000,0.000000,0.000000,0.968750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
55,dilute_1,hcp,dilute_1_top,4,4,4,1,0.000000,0.000000,0.000000,0.984375,0.000000,0.000000,0.000000,0.015625,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
56,dilute_1,hcp,dilute_1_sub,4,4,4,1,0.000000,0.000000,0.000000,0.984375,0.000000,0.000000,0.000000,0.015625,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
57,dilute_1,hcp,dilute_1_mid,4,4,4,1,0.000000,0.000000,0.000000,0.984375,0.000000,0.000000,0.000000,0.015625,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
58,dilute_2,hcp,dilute_2_nn_top,4,4,4,1,0.000000,0.000000,0.000000,0.968750,0.000000,0.000000,0.000000,0.031250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
59,dilute_2,hcp,dilute_2_nn_sub,4,4,4,1,0.000000,0.000000,0.000000,0.968750,0.000000,0.000000,0.000000,0.031250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
60,dilute_2,hcp,dilute_2_far_top,4,4,4,1,0.000000,0.000000,0.000000,0.968750,0.000000,0.000000,0.000000,0.031250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
61,dilute_1,bcc,dilute_1_top,4,4,4,1,0.000000,0.000000,0.000000,0.015625,0.000000,0.000000,0.000000,0.000000,0.000000,0.984375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
62,dilute_1,bcc,dilute_1_sub,4,4,4,1,0.000000,0.000000,0.000000,0.015625,0.000000,0.000000,0.000000,0.000000,0.000000,0.984375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
63,dilute_1,bcc,dilute_1_mid,4,4,4,1,0.000000,0.000000,0.000000,0.015625,0.000000,0.000000,0.000000,0.000000,0.000000,0.984375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
64,dilute_2,bcc,dilute_2_nn_top,4,4,4,1,0.000000,0.000000,0.000000,0.031250,0.000000,0.000000,0.000000,0.000000,0.000000,0.968750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
65,dilute_2,bcc,dilute_2_nn_sub,4,4,4,1,0.000000,0.000000,0.000000,0.031250,0.000000,0.000000,0.000000,0.000000,0.000000,0.968750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66,dilute_2,bcc,dilute_2_far_top,4,4,4,1,0.000000,0.000000,0.000000,0.031250,0.000000,0.000000,0.000000,0.000000,0.000000,0.968750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
67,dilute_1,hcp,dilute_1_top,4,4,4,1,0.000000,0.000000,0.000000,0.984375,0.000000,0.000000,0.000000,0.000000,0.000000,0.015625,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
68,dilute_1,hcp,dilute_1_sub,4,4,4,1,0.000000,0.000000,0.000000,0.984375,0.000000,0.000000,0.000000,0.000000,0.000000,0.015625,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
69,dilute_1,hcp,dilute_1_mid,4,4,4,1,0.000000,0.000000,0.000000,0.984375,0.000000,0.000000,0.000000,0.000000,0.000000,0.015625,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
70,dilute_2,hcp,dilute_2_nn_top,4,4,4,1,0.000000,0.000000,0.000000,0.968750,0.000000,0.000000,0.000000,0.000000,0.000000,0.031250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
71,dilute_2,hcp,dilute_2_nn_sub,4,4,4,1,0.000000,0.000000,0.000000,0.968750,0.000000,0.000000,0.000000,0.000000,0.000000,0.031250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
72,dilute_2,hcp,dilute_2_far_top,4,4,4,1,0.000000,0.000000,0.000000,0.968750,0.000000,0.000000,0.000000,0.000000,0.000000,0.031250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
73,dilute_1,hcp,dilute_1_top,4,4,4,1,0.000000,0.000000,0.000000,0.015625,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.984375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
74,dilute_1,hcp,dilute_1_sub,4,4,4,1,0.000000,0.000000,0.000000,0.015625,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.984375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
75,dilute_1,hcp,dilute_1_mid,4,4,4,1,0.000000,0.000000,0.000000,0.015625,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.984375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
76,dilute_2,hcp,dilute_2_nn_top,4,4,4,1,0.000000,0.000000,0.000000,0.031250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.968750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
77,dilute_2,hcp,dilute_2_nn_sub,4,4,4,1,0.000000,0.000000,0.000000,0.031250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.968750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
78,dilute_2,hcp,dilute_2_far_top,4,4,4,1,0.000000,0.000000,0.000000,0.031250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.968750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
79,dilute_1,hcp,dilute_1_top,4,4,4,1,0.000000,0.000000,0.000000,0.984375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015625,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
80,dilute_1,hcp,dilute_1_sub,4,4,4,1,0.000000,0.000000,0.000000,0.984375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015625,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
81,dilute_1,hcp,dilute_1_mid,4,4,4,1,0.000000,0.000000,0.000000,0.984375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015625,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
82,dilute_2,hcp,dilute_2_nn_top,4,4,4,1,0.000000,0.000000,0.000000,0.968750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
83,dilute_2,hcp,dilute_2_nn_sub,4,4,4,1,0.000000,0.000000,0.000000,0.968750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
84,dilute_2,hcp,dilute_2_far_top,4,4,4,1,0.000000,0.000000,0.000000,0.968750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
85,dilute_1,fcc,dilute_1_top,4,4,4,1,0.000000,0.000000,0.000000,0.015625,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.984375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
86,dilute_1,fcc,dilute_1_sub,4,4,4,1,0.000000,0.000000,0.000000,0.015625,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.984375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
87,dilute_1,fcc,dilute_1_mid,4,4,4,1,0.000000,0.000000,0.000000,0.015625,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.984375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
88,dilute_2,fcc,dilute_2_nn_top,4,4,4,1,0.000000,0.000000,0.000000,0.031250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.968750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
89,dilute_2,fcc,dilute_2_nn_sub,4,4,4,1,0.000000,0.000000,0.000000,0.031250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.968750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90,dilute_2,fcc,dilute_2_far_top,4,4,4,1,0.000000,0.000000,0.000000,0.031250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.968750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91,dilute_1,hcp,dilute_1_top,4,4,4,1,0.000000,0.000000,0.000000,0.984375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015625,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
92,dilute_1,hcp,dilute_1_sub,4,4,4,1,0.000000,0.000000,0.000000,0.984375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015625,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
93,dilute_1,hcp,dilute_1_mid,4,4,4,1,0.000000,0.000000,0.000000,0.984375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015625,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
94,dilute_2,hcp,dilute_2_nn_top,4,4,4,1,0.000000,0.000000,0.000000,0.968750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
95,dilute_2,hcp,dilute_2_nn_sub,4,4,4,1,0.000000,0.000000,0.000000,0.968750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
96,dilute_2,hcp,dilute_2_far_top,4,4,4,1,0.000000,0.000000,0.000000,0.968750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
97,dilute_1,fcc,dilute_1_top,4,4,4,1,0.000000,0.000000,0.000000,0.015625,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.984375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
98,dilute_1,fcc,dilute_1_sub,4,4,4,1,0.000000,0.000000,0.000000,0.015625,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.984375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
99,dilute_1,fcc,dilute_1_mid,4,4,4,1,0.000000,0.000000,0.000000,0.015625,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.984375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
100,dilute_2,fcc,dilute_2_nn_top,4,4,4,1,0.000000,0.000000,0.000000,0.031250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.968750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
101,dilute_2,fcc,dilute_2_nn_sub,4,4,4,1,0.000000,0.000000,0.000000,0.031250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.968750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
102,dilute_2,fcc,dilute_2_far_top,4,4,4,1,0.000000,0.000000,0.000000,0.031250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.968750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
103,dilute_1,hcp,dilute_1_top,4,4,4,1,0.000000,0.000000,0.000000,0.984375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015625,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
